Anime_ID,Title,Synopsis,Episodes,Premiered,Genre,Rating,Score,Scored_By,Rank,Popularity,Members,Favorites,Image_URL,cSynopsis,cGenre,cRating
5114,Fullmetal Alchemist: Brotherhood,"""In order for something to be obtained, something of equal value must be lost."" Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edwards right arm that he is able to affix Alphonses soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist. Three years of searching later, the brothers seek the Philosophers Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosophers Stone, but their countrys murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.",64,Spring 2009,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",R - 17+ (violence & profanity),9.25,737295,1.0,4,1206202,107403,https://myanimelist.cdn-dena.com/images/anime/5/47421.jpg,in order for something to be obtained something of equal value must be lost alchemy is bound by this law of equivalent exchange—something the young brothers edward and alphonse elric only realize after attempting human transmutation: the one forbidden act of alchemy they pay a terrible price for their transgression—edward loses his left leg alphonse his physical body it is only by the desperate sacrifice of edwards right arm that he is able to affix alphonses soul to a suit of armor devastated and alone it is the hope that they would both eventually return to their original bodies that gives edward the inspiration to obtain metal limbs called automail and become a state alchemist the fullmetal alchemist three years of searching later the brothers seek the philosophers stone a mythical relic that allows an alchemist to overcome the law of equivalent exchange even with military allies colonel roy mustang lieutenant riza hawkeye and lieutenant colonel maes hughes on their side the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive philosophers stone but their countrys murky history as well in between finding a serial killer and racing against time edward and alphonse must ask themselves if what they are doing will make them human again or take away their humanity,"action, military, adventure, comedy, drama, magic, fantasy, shounen",r  17+ (violence & profanity)
32281,Kimi no Na wa.,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture. One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Takis body! Elsewhere, Taki finds himself living Mitsuhas life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another. Kimi no Na wa. revolves around Mitsuha and Takis actions, which begin to have a dramatic impact on each others lives, weaving them into a fabric held together by fate and circumstance.",1,,"Supernatural, Drama, Romance, School",PG-13 - Teens 13 or older,9.18,477082,2.0,33,737679,35263,https://myanimelist.cdn-dena.com/images/anime/5/87048.jpg,mitsuha miyamizu a high school girl yearns to live the life of a boy in the bustling city of tokyo—a dream that stands in stark contrast to her present life in the countryside meanwhile in the city taki tachibana lives a busy life as a high school student while juggling his parttime job and hopes for a future in architecture one day mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in tokyo—but in takis body elsewhere taki finds himself living mitsuhas life in the humble countryside in pursuit of an answer to this strange phenomenon they begin to search for one another kimi no na wa revolves around mitsuha and takis actions which begin to have a dramatic impact on each others lives weaving them into a fabric held together by fate and circumstance,"supernatural, drama, romance, school",pg13  teens 13 or older
28977,Gintama°,"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still havent been paid... Does Gin-chan really spend all that cash playing pachinko? Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed though, as usual, nothing is ever that simple for the Yorozuya team. Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintamas third season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.",51,Spring 2015,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",R - 17+ (violence & profanity),9.15,72154,3.0,382,200283,5701,https://myanimelist.cdn-dena.com/images/anime/3/72078.jpg,gintoki shinpachi and kagura return as the funloving but broke members of the yorozuya team living in an alternatereality edo where swords are prohibited and alien overlords have conquered japan they try to thrive on doing whatever work they can get their hands on however shinpachi and kagura still havent been paid does ginchan really spend all that cash playing pachinko meanwhile when gintoki drunkenly staggers home one night an alien spaceship crashes nearby a fatally injured crew member emerges from the ship and gives gintoki a strange clockshaped device warning him that it is incredibly powerful and must be safeguarded mistaking it for his alarm clock gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill with kagura and shinpachi at his side he sets off to get the device fixed though as usual nothing is ever that simple for the yorozuya team filled with tongueincheek humor and moments of heartfelt emotion gintamas third season finds gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet,"action, comedy, historical, parody, samurai, sci-fi, shounen",r  17+ (violence & profanity)
9253,SteinsGate,"The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel. Though miraculous in itself, the phenomenon doesnt provide anything concrete in Okabes search for a scientific breakthrough that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history. Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, SteinsGate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.",24,Spring 2011,"Thriller, Sci-Fi",PG-13 - Teens 13 or older,9.14,567710,4.0,7,1016520,93027,https://myanimelist.cdn-dena.com/images/anime/5/73199.jpg,the selfproclaimed mad scientist rintarou okabe rents out a room in a rickety old building in akihabara where he indulges himself in his hobby of inventing prospective future gadgets with fellow lab members: mayuri shiina his airheaded childhood friend and hashida itaru a perverted hacker nicknamed daru the three pass the time by tinkering with their most promising contraption yet a machine dubbed the phone microwave which performs the strange function of morphing bananas into piles of green gel though miraculous in itself the phenomenon doesnt provide anything concrete in okabes search for a scientific breakthrough that is until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the phone microwave can send emails to the past altering the flow of history adapted from the critically acclaimed visual novel by 5pb and nitroplus steinsgate takes okabe through the depths of scientific theory and practicality forced across the diverging threads of past and present okabe must shoulder the burdens that come with holding the key to the realm of time,"thriller, sci-fi",pg13  teens 13 or older
30484,SteinsGate,"The dark untold story of SteinsGate that leads with the eccentric mad scientist Okabe, struggling to recover from a failed attempt at rescuing Kurisu. He decides to give up and abandons his lively scientist alter ego, in pursuit to forget the past. When all seems to be normal, he is seemingly pulled back into the past by meeting an acquaintance of Kurisu, who tells him that they have begun testing a device that stores the memory of a human and creates a simulation of them with their characteristics and personalities. Okabe begins testing and finds out that the simulation of Kurisu has brought back anguish and some new unexpected tragedies. Zero explores events from the Beta Attractor Fields future that contribute in making the end of the original story possible.",23,Spring 2018,"Sci-Fi, Thriller",PG-13 - Teens 13 or older,9.13,29851,5.0,310,232080,2014,https://myanimelist.cdn-dena.com/images/anime/1031/90444.jpg,the dark untold story of steinsgate that leads with the eccentric mad scientist okabe struggling to recover from a failed attempt at rescuing kurisu he decides to give up and abandons his lively scientist alter ego in pursuit to forget the past when all seems to be normal he is seemingly pulled back into the past by meeting an acquaintance of kurisu who tells him that they have begun testing a device that stores the memory of a human and creates a simulation of them with their characteristics and personalities okabe begins testing and finds out that the simulation of kurisu has brought back anguish and some new unexpected tragedies zero explores events from the beta attractor fields future that contribute in making the end of the original story possible,"sci-fi, thriller",pg13  teens 13 or older
820,Ginga Eiyuu Densetsu,"The 15-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPAs reserved historian, Yang Wenli. While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution. As ideologies clash amidst the wars many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.",110,,"Military, Sci-Fi, Space, Drama",R - 17+ (violence & profanity),9.11,29248,6.0,668,126052,8607,https://myanimelist.cdn-dena.com/images/anime/13/13225.jpg,the 15yearlong stalemate between the two interstellar superpowers the galactic empire and the free planets alliance comes to an end when a new generation of leaders arises: the idealistic military genius reinhard von lohengramm and the fpas reserved historian yang wenli while reinhard climbs the ranks of the empire with the aid of his childhood friend siegfried kircheis he must fight not only the war but also the remnants of the crumbling goldenbaum dynasty in order to free his sister from the kaiser and unify humanity under one genuine ruler meanwhile on the other side of the galaxy yang—a strong supporter of democratic ideals—has to stand firm in his beliefs despite the struggles of the fpa and show his pupil julian mintz that autocracy is not the solution as ideologies clash amidst the wars many casualties the two strategic masterminds must ask themselves what the real reason behind their battle is,"military, sci-fi, space, drama",r  17+ (violence & profanity)
9969,Gintama,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child. Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondous request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it. With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.",51,Spring 2011,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",PG-13 - Teens 13 or older,9.11,92471,7.0,344,216663,4557,https://myanimelist.cdn-dena.com/images/anime/4/50361.jpg,after a oneyear hiatus shinpachi shimura returns to edo only to stumble upon a shocking surprise: gintoki and kagura his fellow yorozuya members have become completely different characters fleeing from the yorozuya headquarters in confusion shinpachi finds that all the denizens of edo have undergone impossibly extreme changes in both appearance and personality most unbelievably his sister otae has married the shinsengumi chief and shameless stalker isao kondou and is pregnant with their first child bewildered shinpachi agrees to join the shinsengumi at otae and kondous request and finds even more startling transformations afoot both in and out of the ranks of the the organization however discovering that vice chief toushirou hijikata has remained unchanged shinpachi and his unlikely shinsengumi ally set out to return the city of edo to how they remember it with even more dirty jokes tongueincheek parodies and shameless references gintama follows the yorozuya team through more of their misadventures in the vibrant alienfilled world of edo,"action, sci-fi, comedy, historical, parody, samurai, shounen",pg13  teens 13 or older
11061,Hunter x Hunter (211),"Hunter x Hunter is set in a world where Hunters exist to perform all manner of dangerous tasks like capturing criminals and bravely searching for lost treasures in uncharted territories. Twelve-year-old Gon Freecss is determined to become the best Hunter possible in hopes of finding his father, who was a Hunter himself and had long ago abandoned his young son. However, Gon soon realizes the path to achieving his goals is far more challenging than he could have ever imagined. Along the way to becoming an official Hunter, Gon befriends the lively doctor-in-training Leorio, vengeful Kurapika, and rebellious ex-assassin Killua. To attain their own goals and desires, together the four of them take the Hunter Exam, notorious for its low success rate and high probability of death. Throughout their journey, Gon and his friends embark on an adventure that puts them through many hardships and struggles. They will meet a plethora of monsters, creatures, and characters—all while learning what being a Hunter truly means.",148,Fall 2011,"Action, Adventure, Super Power, Fantasy, Shounen",PG-13 - Teens 13 or older,9.11,406279,8.0,35,725953,64755,https://myanimelist.cdn-dena.com/images/anime/11/33657.jpg,hunter x hunter is set in a world where hunters exist to perform all manner of dangerous tasks like capturing criminals and bravely searching for lost treasures in uncharted territories twelveyearold gon freecss is determined to become the best hunter possible in hopes of finding his father who was a hunter himself and had long ago abandoned his young son however gon soon realizes the path to achieving his goals is far more challenging than he could have ever imagined along the way to becoming an official hunter gon befriends the lively doctorintraining leorio vengeful kurapika and rebellious exassassin killua to attain their own goals and desires together the four of them take the hunter exam notorious for its low success rate and high probability of death throughout their journey gon and his friends embark on an adventure that puts them through many hardships and struggles they will meet a plethora of monsters creatures and characters—all while learning what being a hunter truly means,"action, adventure, super power, fantasy, shounen",pg13  teens 13 or older
35180,3-gatsu no Lion 2nd Season,"Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sisters—Akari, Hinata, and Momo—who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return. Nonetheless, the life of a professional is not easy. Between tournaments, championships, and title matches, the pressure mounts as Rei advances through the ranks and encounters incredibly skilled opponents. As he manages his relationships with those who have grown close to him, the shogi player continues to search for the reason he plays the game that defines his career.",22,Fall 2017,"Drama, Game, Seinen, Slice of Life",PG-13 - Teens 13 or older,9.09,32011,9.0,983,87520,2333,https://myanimelist.cdn-dena.com/images/anime/1959/92119.jpg,now in his second year of high school rei kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life surrounded by vibrant personalities at the shogi hall the school club and in the local community his solitary shell slowly begins to crack among them are the three kawamoto sisters—akari hinata and momo—who forge an affectionate and familial bond with rei through these ties he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return nonetheless the life of a professional is not easy between tournaments championships and title matches the pressure mounts as rei advances through the ranks and encounters incredibly skilled opponents as he manages his relationships with those who have grown close to him the shogi player continues to search for the reason he plays the game that defines his career,"drama, game, seinen, slice of life",pg13  teens 13 or older
15417,Gintama: Enchousen,"While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintokis golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character? In addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earths surface, the trio soon learn of the tragic backstories of Yoshiwaras inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls. Gintama: Enchousen includes moments of action-packed intensity along with their usual lighthearted, slapstick humor for Gintoki and his friends.",13,Fall 2012,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",PG-13 - Teens 13 or older,9.06,63809,10.0,683,124325,1513,https://myanimelist.cdn-dena.com/images/anime/6/75172.jpg,while gintoki sakata was away the yorozuya found themselves a new leader: kintoki gintokis goldenhaired doppelganger in order to regain his former position gintoki will need the help of those around him a troubling feat when no one can remember him between kintoki and gintoki who will claim the throne as the main character in addition yorozuya make a trip back down to redlight district of yoshiwara to aid an elderly courtesan in her search for her longlost lover although the district is no longer in chains beneath the earths surface the trio soon learn of the tragic backstories of yoshiwaras inhabitants that still haunt them with flashback after flashback this quest has yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls gintama: enchousen includes moments of actionpacked intensity along with their usual lighthearted slapstick humor for gintoki and his friends,"action, comedy, historical, parody, samurai, sci-fi, shounen",pg13  teens 13 or older
